title,content,date
They said you were a giant. They said you can crush a man's skull with one hand.,"Ridley Scott's Gladiator is not a perfect film I would think that the hardiest of fans of which I'm firmly one know this deep down. Yet just like Commodus in the film is keen to point out that he himself has other virtues that are worthy so does Gladiator the film. Enough in fact to make it an everlasting favourite of genre fans and worthy of the Academy Award acknowledgements it received.In narrative terms the plot and story arc is simplicity supreme something Scott and Russell Crowe have never shied away from. There has to my knowledge as well never been a denial of the debt Gladiator owes to Anthony Mann's 1964 Epic The Fall of the Roman Empire. Some folk seem very irritated by this which is strange because the makers of Gladiator were not standing up bold as brass to proclaim they were unique with their movie what they did do was reinvigorate a stagnant genre of film for a new generational audience. And it bloody worked the influence and interest in all things Roman or historically swashbuckling of film that followed post Gladiator's success is there for all to see.What we do in life echoes in eternity.So no originality in story then. While some of the CGI is hardly ""Grade A"" stuff and there's a little over - mugging acting in support ranks as some of the cast struggle to grasp the period setting required yet the way Gladiator can make the emotionally committed feel - overrides film making irks. Crowe's Maximus is the man men want to be and the man women want to be with. As he runs through the gamut of life's pains and emotionally fortified trials and tribulations we are with him every step of the way urging him towards his day of revenge splattered destiny; with Crowe superb in every pained frame winning the Academy Award for Best Actor that he should have won for The Insider the previous year.Backing Crowe up is Joaquin Phoenix giving Commodus preening villainy and Connie Nielsen graceful as Lucilla (pitch Nielsen's turn here against that of Diane Kruger's in Troy to see the class difference for historical period playing). Oliver Reed leaving the mortal coil but leaving behind a spicy two fold performance as Proximo the Gladiator task master. Olly superb in both body and CGI soul. Richard Harris tugging the heart strings Derek Jacobi classy David Hemmings also while Djimon Hounso gives Juba - Maximus right hand man and confidante - a level of character gravitas that's inspiring.I didn't know man could build such things.Dialogue is literate and poetic resplendent with iconic speeches. Action is never far away but never at the expense of wrought human characterisations. The flaming arrows and blood letting of the Germania conflict kicks things off with pulse raising clarity and Scott and his team never sag from this standard. The gladiator arena fights are edge of the seat inducing the recreation for the Battle of Carthage a stunning piece of action sequence construction. And then the finale the culmination of two men's destinies no soft soaping from Scott and Crowe it lands in the heart with a resounding thunderclap. A great swords and sandals movie that tipped its helmet to past masters whilst simultaneously bringing the genre alive again. Bravo Maximus Decimus Meridius. 10/10",6 August 2014
As a matter of fact Maximus I AM entertained.,Gladiator is the best bread and circus. A moving and very entertaining action epic with Russel Crowe and Joaquin Phoenix at the top of their game.I absolutely love Joaquin Phoenix in this movie. He's the kind of villain you love to hate. So pathetic and childish. So ruthless and creepy. Just right amount of cartoonish. I wanted to punch him in the face.It can be corny and it drags a bit during the escape plan part of the plot but it has enough emotion and brutal violence to keep the audience entertained and that's what a good gladiator match should be.,11 October 2020
One of the best films ever,"There are so many iconic lines and quips in this film too many to countIt was easily the best film of the start of the millennium.""on my mark unleash hell!""""My name is Maximus Decimus Meridius commander of the Armies of the North General of the Felix Legions and loyal servant to the TRUE emperor Marcus Aurelius. Father to a murdered son husband to a murdered wife. And I will have my vengeance in this life or the next.""",6 April 2021
Are you entertained? Yes sir yes I am,How good is Russell Crowe though easily one of my favourite actors. Joaquin Phoenix play the role of a little weasel very well. Absolute classic of a film.,6 December 2020
Great,"Gladiator is a historical epic from director Ridley Scott. After being betrayed by the new Caesar Roman general Maximus is sold into slavery as a gladiator where he rises to fame as a people's champion and finds an opportunity to exact his revenge. Russell Crowe Joaquin Phoenix and Connie Nielsen lead the cast and deliver strong performances. Additionally the gladiator fights are especially dynamic and exciting featuring several different styles of combat. The costumes and sets are also remarkably well-done and create a vivid depiction of ancient Rome. And Hans Zimmer's score does an excellent job at capturing the tone of the film. Thrilling and action-packed Gladiator delivers a compelling tale. ""Are you not entertained?!""",24 February 2020
Spellbinding.,One of the best films of a generation it's a bold claim but Gladiator truly is that good. Every single element is perfect the story is phenomenal one to absorb you for the full running time. The visuals are incredible an epic masterpiece for the eyes as well as the soul. The acting first rate surely the aim of any film is to move you this does just that and then some.The best of Russell Crow are far as I'm concerned he really does command the screen throughout Joaquin Phoenix is just as good it makes me so sad that this was the last film of the late great Oliver Reed and of course he's awesome.I must also comment on the incredible soundtrack the sublime music of Has Zimmer coupled with the ancient enchanting voice of Lisa Gerrard the music is the same glorious standard as the film Now we are free still gives me chills and takes me back to the film.One of my top ten films of all time a masterpiece 10/10.,12 March 2022
Disturbing but beautifully made and well acted as well as jaw-dropping scenery!,Ridley Scott rarely disappoints with his films. All of them including the unjustly-maligned Legend are visually stunning and just show the director's artistic genius. Gladiator should be up there as one of the best films he's done if not the best. Almost everything on screen is very graphic making some scenes upsetting to watch but the visuals are just outstanding. The music score by Hans Zimmer just adds to the drama that is already there in the script. which is well written and rather Shakespearean. The performances were brilliant especially Joaquin Pheonix and Oliver Reed. Russell Crowe is wholly convincing in the title role and Richard Harris and Connie Nielson are also excellent. The costumes are brilliant as well as the sets. In conclusion Gladiator is a near masterpiece only marred by some upsetting scenes. 9/10 Bethany Cox.,15 May 2009
20 Years On It Still Rewards And Grips,20 years on the first DVD I bought is still a barnstorming thrilling ride. There's so much to recommend this - Lisa Gerrard & Hans Zimmer's iconic score the canny casting of Joaquin Phoenix as a foil for Crowe; the realisation that I quote this film in everyday conversation far more than I thought I did. If it should have won the Oscars is a moot point - this is another of Ridley Scott's superb worldbuilding - one of his primary film-making skills giving us a Rome that feels recognisable yet still a break from the cliché's that had seeped in to popular culture before this. That the film's status was boosted by the DVD boom as it made its way to home release is undeniable but this remains a film that thrills absorbs and grips.,21 August 2020
Both Old-Fashioned And Modern Gladiator Is An Intoxicating Blend Of Action Spectacle and Intimate Drama,Gladiator 2000's Best Picture winner was undoubtedly one of the biggest successes of the decade. It made tons of box-office cash nearly swept the Oscars and revitalized the sword-and-sandals genre for years to come. Does the movie warrant the massive success it received? For the most part yes. Ridley Scott's Roman blockbuster doesn't have quite the overwhelming emotion of another Oscar-winning epic Braveheart but as a brawny action spectacle Gladiator soars. With a strong story a profound sense of character and action and special effects that are suitably exciting Gladiator is a special kind of sword-and-sandals picture; One with a true dramatic core.Like the great epics of Hollywood's past Gladiator is simple in its story. Russell Crowe stars as the Roman General Maximus whose life is thrown into chaos after the jealous Emperor Commodus (Joaquin Phoenix) arranges for his execution. Maximus is sold into slavery where he meets Proximo a former gladiator played by Oliver Reed who shepherds him through life as a gladiator as Commodus scrambles to stop Maximus' influence among the people. The story of Gladiator is a rock-solid tale of revenge bolstered by well written characters some sly political subtext and a couple of stellar performances from Crowe and Phoenix. The two principle characters Maximus and Commodus are what separates Gladiator from the slew of sword-and-sandals epics that came after it. They are simply but elegantly written as characters; Maximus a man singularly driven by a need to return to his family Commodus a confused young man singularly driven by a need to be loved. However it is the performances from Russell Crowe and Joaquin Phoenix that really elevate this material. Phoenix gives a brilliant portrait of an emotionally frustrated young man. He is completely unpredictable but he never becomes campy. He is a real person with real problems and there is an underlying sadness to his character that makes him so much more interesting than your typical stock villain. As for Crowe his performance is all about physical presence. Apart from a few big emotional scenes Crowe's performance is one of quiet masculine stoicism. He adds a remarkable gravitas to this character that all but makes the movie. You feel for him you relate to him you root for him and you become inspired by him. It is a perfect heroic performance. The character stuff in Gladiator really works. Coming from a genre that made do with archetypal characters doing obligatory British accents for years it is nothing short of a revelation that Gladiator is such a fulfilling dramatic experience. Here are characters you actually care about and not simply placeholders to string up the plot in between action scenes.When it comes to general filmmaking Gladiator is rarely pedestrian and often astounding. Apart from some strange quirks in the filmmaking like the seemingly digitized zooms or the moments when the frame rate seems to cause a weird flicker effect Gladiator is a deep rich and meticulously detailed visual experience. Hollywood production values don't get much higher than this. The technical departments are tops in terms of production design and costuming. The movie looks expensive but there is something else in Gladiator's visual style that keeps your eyes glued to the screen. The look of the film with its mix of traditional large- scale sets and CG enhancements is almost dreamlike. The environments of Ridley Scott's version of ancient Rome including a painstakingly crafted digital recreation of the famous Colosseum seem untethered to any kind of physical reality. It's as if what Scott has created is an environment that reflects the feeling of Ancient Rome rather than the reality of it. Just as with the deep characters and eloquent script there's a modern feeling to Ridley Scott's filmmaking in Gladiator. The reliance on CGI is sometimes overdone but in conjunction with the costumes sets and impressively grandiose score from Hans Zimmer it adds to the intoxicating atmosphere of Ridley Scott's world.The main attraction of Gladiator is its scenes of gladiatorial combat and on that front Ridley Scott aptly gets the job done. There are a few moments when Scott falls back on to standard sword clashing and disorientating shaky cam but for the most part the action scenes are exciting bloody and imaginatively staged. The best action scenes are the opening Barbarian battle and a fantastic fight scene between Maximus a veteran gladiator and a Colosseum full of bloodthirsty tigers. In those scenes Scott's emphasis on close-up sweaty brutal action is totally effective. I felt the cold of the forest mud the heat of the flaming trees the sharpness of the swords and the dusty claustrophobia of the Arena. The action of Gladiator is visceral and bloody and there is plenty of it. Those hungry for bloodsport will find more than enough manly derring-do to satiate their red-blooded desire.For all its dramatic depth I can't say I came out of Gladiator heavily affected by feeling. This is still at its core a visceral experience but the small character moments and the textured performances are miraculously riveting. I was intrigued by every second of Gladiator. The action scenes are thrilling the dramatic scenes are mesmerizing and the $103 million budget is all up there on the screen in every frame. Ridley Scott's direction is superlative especially in the third act as the story action and emotions reach a fever pitch. The last few scenes including the climactic final showdown and the closing 'Elysium' scene exhibit a crescendo of the kind of daring artistry that permeates the film's best sections. Gladiator is a meaty Hollywood epic of the best kind. It's visually sumptuous and supremely thrilling but there is a beating heart within this beast. Sure there are a couple of bumps along the way but with Crowe as the sturdy hero and a simple story of returning home Gladiator stays with you long after the credits roll.92/100,9 July 2017
A Throwback To The Epics Of The '60s,"An intense Roman epic a la ""Ben-Hur"" or ""Spartacus"" it was nice to see something like this made again. It had been since the 1960s that we had seen a 3-hour extravaganza like this.Like Ben-Hur this is a story of a successful man who loses everything thanks to an evil man and then has to fight his way back up to seek revenge on that man and to obtain his freedom back. It's a tried-and-true formula. This movie doesn't go to excess on the violence as some of the other more recent epic films did such as ""Braveheart"" or ""The Patriot.""The acting is excellent beginning with Russell Crowe who has established himself as one of the best actors of today. Joaquin Phoenix also put himself ""on the map"" as an actor with his portrayal of the evil ""Commodus."" He's so annoying you want to slap that sucker which means he's doing a good job acting. Kudos to the rest of the cast too.Too bad they don't make more of these type of films as they did in the 1950s and 1960s.",1 November 2006
